indice
,region,provincia,grupo_edad,total_personas,unidas_hombres,unidas_mujeres,unidas_total,separadas_hombres,separadas_mujeres,separadas_total,divorciadas_hombres,divorciadas_mujeres,divorciadas_total,viudas_hombres,viudas_mujeres,viudas_total,casadas_hombres,casadas_mujeres,casadas_total,solteras_hombres,solteras_mujeres,solteras_total
,Total Nacional,Nacional,Nacional,"13,594,039","1,232,263","1,220,091","2,452,354","190,241","352,126","542,367","169,221","284,534","453,755","129,771","401,818","531,589","1,836,924","1,862,444","3,699,368","2,985,722","2,928,884","5,914,606"
,Total Nacional,Nacional,De 12-14,"968,042","1,617","3,600","5,217",277,387,664,,,0,37,41,78,,,0,"494,276","467,807","962,083"
,Total Nacional,Nacional,De 15-19,"1,533,824","23,166","67,654","90,820",956,"6,688","7,644",46,64,110,57,250,307,"1,428","3,509","4,937","750,498","679,508","1,430,006"
,Total Nacional,Nacional,De 20-24,"1,495,912","123,324","173,244","296,568","6,367","26,235","32,602",459,"1,343","1,802",187,"1,069","1,256","21,923","44,633","66,556","581,668","515,460","1,097,128"
,Total Nacional,Nacional,De 25-29,"1,347,168","182,992","196,328","379,320","13,147","38,751","51,898","3,366","8,303","11,669",523,"2,478","3,001","83,784","128,950","212,734","359,139","329,407","688,546"
,Total Nacional,Nacional,De 30-34,"1,243,063","184,075","178,838","362,913","17,976","43,431","61,407","10,239","19,812","30,051",939,"4,336","5,275","161,148","199,227","360,375","214,653","208,389","423,042"
,Total Nacional,Nacional,De 35-39,"1,173,922","164,494","155,182","319,676","21,235","45,220","66,455","16,515","29,841","46,356","1,616","6,949","8,565","209,360","231,769","441,129","140,349","151,392","291,741"
,Total Nacional,Nacional,De 40-44,"1,112,429","142,689","130,834","273,523","24,104","43,774","67,878","22,012","37,270","59,282","2,609","10,878","13,487","225,553","238,330","463,883","109,173","125,203","234,376"
,Total Nacional,Nacional,De 45-49,"951,536","111,421","98,413","209,834","21,868","35,652","57,520","22,200","37,838","60,038","3,868","14,686","18,554","211,269","215,905","427,174","81,108","97,308","178,416"
,Total Nacional,Nacional,De 50-54,"860,590","90,382","75,307","165,689","20,808","31,640","52,448","22,890","37,856","60,746","5,791","22,072","27,863","200,720","199,961","400,681","68,367","84,796","153,163"
,Total Nacional,Nacional,De 55-59,"752,046","70,271","53,245","123,516","18,073","26,651","44,724","21,166","34,169","55,335","8,272","30,678","38,950","185,129","176,958","362,087","54,879","72,555","127,434"
,Total Nacional,Nacional,De 60-64,"634,917","52,666","37,356","90,022","15,264","20,620","35,884","17,999","28,233","46,232","11,471","40,528","51,999","160,767","145,936","306,703","44,063","60,014","104,077"
,Total Nacional,Nacional,De 65-69,"516,770","36,982","23,829","60,811","11,865","14,358","26,223","13,805","20,988","34,793","16,146","50,840","66,986","134,437","114,041","248,478","32,596","46,883","79,479"
,Total Nacional,Nacional,De 70-74,"380,529","23,256","13,740","36,996","8,343","9,103","17,446","8,935","13,530","22,465","17,705","53,655","71,360","99,708","76,428","176,136","22,711","33,415","56,126"
,Total Nacional,Nacional,De 75-79,"271,820","13,317","7,125","20,442","5,327","5,348","10,675","5,181","7,954","13,135","18,463","52,804","71,267","69,369","48,048","117,417","15,181","23,703","38,884"
,Total Nacional,Nacional,De 80-84,"178,073","6,892","3,288","10,180","2,802","2,545","5,347","2,589","4,188","6,777","17,280","47,205","64,485","41,797","24,599","66,396","9,127","15,761","24,888"
,Total Nacional,Nacional,85 o m�s,"173,398","4,719","2,108","6,827","1,829","1,723","3,552","1,819","3,145","4,964","24,807","63,349","88,156","30,532","14,150","44,682","7,934","17,283","25,217"
,Azuay,Total Azuay,Total Azuay,"653,001","35,047","35,570","70,617","4,623","9,389","14,012","11,366","22,018","33,384","6,280","23,186","29,466","109,385","116,197","225,582","134,198","145,742","279,940"
,Azuay,Total Azuay,De 12-14,"43,413",65,81,146,5,11,16,,,0,,3,3,,,0,"22,364","20,884","43,248"
,Azuay,Total Azuay,De 15-19,"71,444",746,"2,024","2,770",22,75,97,5,3,8,1,2,3,62,144,206,"34,789","33,571","68,360"
,Azuay,Total Azuay,De 20-24,"71,192","4,243","5,927","10,170",104,404,508,37,96,133,4,22,26,"1,117","2,362","3,479","28,941","27,935","56,876"
,Azuay,Total Azuay,De 25-29,"64,283","6,429","6,933","13,362",300,838,"1,138",352,753,"1,105",19,70,89,"4,950","7,733","12,683","18,526","17,380","35,906"
,Azuay,Total Azuay,De 30-34,"60,276","6,085","6,035","12,120",499,"1,162","1,661",877,"1,671","2,548",44,152,196,"9,908","12,885","22,793","10,211","10,747","20,958"
,Azuay,Total Azuay,De 35-39,"57,703","5,034","4,687","9,721",595,"1,304","1,899","1,356","2,573","3,929",73,313,386,"13,236","14,794","28,030","6,040","7,698","13,738"
,Azuay,Total Azuay,De 40-44,"51,875","3,788","3,440","7,228",602,"1,140","1,742","1,574","3,134","4,708",87,507,594,"13,320","14,438","27,758","3,846","5,999","9,845"
,Azuay,Total Azuay,De 45-49,"43,196","2,589","2,259","4,848",548,965,"1,513","1,484","2,962","4,446",138,743,881,"11,638","12,647","24,285","2,653","4,570","7,223"
,Azuay,Total Azuay,De 50-54,"39,725","1,924","1,599","3,523",489,943,"1,432","1,440","3,024","4,464",212,"1,144","1,356","11,071","11,812","22,883","2,028","4,039","6,067"
,Azuay,Total Azuay,De 55-59,"34,529","1,385",995,"2,380",393,846,"1,239","1,282","2,555","3,837",297,"1,551","1,848","10,019","10,446","20,465","1,465","3,295","4,760"
,Azuay,Total Azuay,De 60-64,"30,365","1,026",627,"1,653",332,626,958,"1,100","1,989","3,089",498,"2,107","2,605","9,186","9,090","18,276","1,120","2,664","3,784"
,Azuay,Total Azuay,De 65-69,"25,486",700,421,"1,121",228,477,705,782,"1,346","2,128",669,"2,671","3,340","8,048","7,337","15,385",735,"2,072","2,807"
,Azuay,Total Azuay,De 70-74,"20,324",448,252,700,211,280,491,514,944,"1,458",778,"2,919","3,697","6,452","5,273","11,725",608,"1,645","2,253"
,Azuay,Total Azuay,De 75-79,"16,039",320,166,486,157,176,333,313,484,797,952,"3,210","4,162","4,815","3,787","8,602",396,"1,263","1,659"
,Azuay,Total Azuay,De 80-84,"11,407",143,70,213,80,96,176,149,304,453,967,"3,175","4,142","3,168","2,101","5,269",225,929,"1,154"
,Azuay,Total Azuay,85 o m�s,"11,744",122,54,176,58,46,104,101,180,281,"1,541","4,597","6,138","2,395","1,348","3,743",251,"1,051","1,302"
,Azuay,Cuenca,Total Cuenca,"489,984","23,920","23,921","47,841","3,402","6,481","9,883","9,483","18,085","27,568","4,172","15,915","20,087","84,829","89,155","173,984","101,983","108,638","210,621"
,Azuay,Cuenca,De 12-14,"31,155",53,51,104,4,9,13,,,0,,,0,,,0,"16,109","14,929","31,038"
,Azuay,Cuenca,De 15-19,"51,327",446,"1,100","1,546",18,33,51,5,2,7,1,,1,48,108,156,"25,178","24,388","49,566"
,Azuay,Cuenca,De 20-24,"53,853","2,698","3,700","6,398",68,236,304,32,76,108,2,14,16,889,"1,810","2,699","22,648","21,680","44,328"
,Azuay,Cuenca,De 25-29,"49,556","4,294","4,599","8,893",235,559,794,312,605,917,15,51,66,"4,060","6,191","10,251","15,089","13,546","28,635"
,Azuay,Cuenca,De 30-34,"46,763","4,139","4,190","8,329",385,759,"1,144",773,"1,358","2,131",37,109,146,"8,190","10,368","18,558","8,292","8,163","16,455"
,Azuay,Cuenca,De 35-39,"44,980","3,557","3,284","6,841",475,957,"1,432","1,165","2,121","3,286",59,210,269,"10,828","11,938","22,766","4,759","5,627","10,386"
,Azuay,Cuenca,De 40-44,"40,488","2,643","2,394","5,037",461,817,"1,278","1,372","2,600","3,972",65,355,420,"10,870","11,547","22,417","3,013","4,351","7,364"
,Azuay,Cuenca,De 45-49,"33,404","1,837","1,597","3,434",407,683,"1,090","1,263","2,422","3,685",101,524,625,"9,323","9,853","19,176","2,012","3,382","5,394"
,Azuay,Cuenca,De 50-54,"30,242","1,339","1,136","2,475",349,663,"1,012","1,210","2,478","3,688",165,793,958,"8,572","8,965","17,537","1,517","3,055","4,572"
,Azuay,Cuenca,De 55-59,"26,159",940,717,"1,657",284,614,898,"1,027","2,090","3,117",224,"1,119","1,343","7,684","7,878","15,562","1,087","2,495","3,582"
,Azuay,Cuenca,De 60-64,"22,597",740,441,"1,181",240,422,662,892,"1,634","2,526",350,"1,456","1,806","6,930","6,719","13,649",788,"1,985","2,773"
,Azuay,Cuenca,De 65-69,"18,701",496,324,820,156,331,487,610,"1,111","1,721",482,"1,895","2,377","5,923","5,301","11,224",535,"1,537","2,072"
,Azuay,Cuenca,De 70-74,"14,421",334,177,511,135,181,316,400,774,"1,174",522,"2,029","2,551","4,614","3,677","8,291",395,"1,183","1,578"
,Azuay,Cuenca,De 75-79,"11,062",216,120,336,96,116,212,243,409,652,600,"2,200","2,800","3,285","2,578","5,863",258,941,"1,199"
,Azuay,Cuenca,De 80-84,"7,557",98,56,154,53,67,120,101,254,355,600,"2,127","2,727","2,076","1,344","3,420",133,648,781
,Azuay,Cuenca,85 o m�s,"7,719",90,35,125,36,34,70,78,151,229,949,"3,033","3,982","1,537",878,"2,415",170,728,898
,Azuay,Gir�n,Total Gir�n,"9,788",635,665,"1,300",73,146,219,146,303,449,145,463,608,"1,444","1,578","3,022","1,895","2,295","4,190"
,Azuay,Gir�n,De 12-14,699,,2,2,,,0,,,0,,,0,,,0,351,346,697
,Azuay,Gir�n,De 15-19,"1,142",14,38,52,1,1,2,,,0,,,0,1,1,2,530,556,"1,086"
,Azuay,Gir�n,De 20-24,962,77,125,202,3,7,10,1,1,2,,,0,6,30,36,367,345,712
,Azuay,Gir�n,De 25-29,748,114,129,243,1,3,4,1,5,6,,,0,27,70,97,191,207,398
,Azuay,Gir�n,De 30-34,786,107,127,234,6,18,24,6,20,26,,1,1,80,127,207,130,164,294
,Azuay,Gir�n,De 35-39,823,93,63,156,6,23,29,16,25,41,,5,5,166,176,342,107,143,250
,Azuay,Gir�n,De 40-44,684,68,46,114,8,19,27,9,47,56,1,11,12,145,146,291,61,123,184
,Azuay,Gir�n,De 45-49,578,50,47,97,7,12,19,7,44,51,1,13,14,112,148,260,36,101,137
,Azuay,Gir�n,De 50-54,534,33,41,74,3,17,20,16,35,51,,20,20,116,150,266,31,72,103
,Azuay,Gir�n,De 55-59,462,25,12,37,8,12,20,19,44,63,4,24,28,117,131,248,18,48,66
,Azuay,Gir�n,De 60-64,541,20,16,36,8,12,20,19,30,49,13,40,53,144,163,307,25,51,76
,Azuay,Gir�n,De 65-69,475,12,7,19,5,14,19,20,20,40,12,48,60,130,145,275,14,48,62
,Azuay,Gir�n,De 70-74,400,9,8,17,6,4,10,13,16,29,11,64,75,106,116,222,17,30,47
,Azuay,Gir�n,De 75-79,384,6,3,9,6,2,8,10,7,17,32,76,108,130,81,211,7,24,31
,Azuay,Gir�n,De 80-84,303,3,,3,5,2,7,7,9,16,28,63,91,100,63,163,7,16,23
,Azuay,Gir�n,85 o m�s,267,4,1,5,,,0,2,,2,43,98,141,64,31,95,3,21,24
,Azuay,Gualaceo,Total Gualaceo,"33,883","1,738","1,880","3,618",191,600,791,488,"1,073","1,561",433,"1,630","2,063","5,150","5,974","11,124","6,796","7,930","14,726"
,Azuay,Gualaceo,De 12-14,"2,546",3,4,7,,,0,,,0,,2,2,,,0,"1,293","1,244","2,537"
,Azuay,Gualaceo,De 15-19,"4,251",63,163,226,1,5,6,,,0,,1,1,3,6,9,"2,057","1,952","4,009"
,Azuay,Gualaceo,De 20-24,"3,690",285,404,689,10,31,41,,10,10,1,2,3,56,142,198,"1,405","1,344","2,749"
,Azuay,Gualaceo,De 25-29,"3,280",356,436,792,13,64,77,19,43,62,,9,9,229,389,618,812,910,"1,722"
,Azuay,Gualaceo,De 30-34,"2,868",337,266,603,19,57,76,35,97,132,1,14,15,434,607,"1,041",388,613,"1,001"
,Azuay,Gualaceo,De 35-39,"2,658",203,204,407,27,68,95,67,122,189,6,16,22,556,659,"1,215",275,455,730
,Azuay,Gualaceo,De 40-44,"2,277",129,145,274,19,71,90,57,127,184,10,37,47,523,654,"1,177",161,344,505
,Azuay,Gualaceo,De 45-49,"1,902",86,73,159,17,72,89,63,149,212,7,54,61,434,580,"1,014",112,255,367
,Azuay,Gualaceo,De 50-54,"1,861",71,67,138,24,56,80,49,161,210,11,66,77,494,620,"1,114",72,170,242
,Azuay,Gualaceo,De 55-59,"1,704",61,53,114,14,58,72,47,114,161,21,111,132,463,552,"1,015",56,154,210
,Azuay,Gualaceo,De 60-64,"1,544",50,29,79,20,33,53,57,104,161,22,146,168,434,463,897,58,128,186
,Azuay,Gualaceo,De 65-69,"1,432",31,7,38,8,32,40,47,67,114,46,159,205,449,443,892,33,110,143
,Azuay,Gualaceo,De 70-74,"1,243",31,17,48,5,30,35,20,39,59,46,201,247,389,344,733,34,87,121
,Azuay,Gualaceo,De 75-79,"1,009",17,8,25,10,12,22,11,21,32,64,236,300,321,243,564,15,51,66
,Azuay,Gualaceo,De 80-84,780,10,1,11,3,10,13,12,10,22,73,243,316,196,160,356,9,53,62
,Azuay,Gualaceo,85 o m�s,838,5,3,8,1,1,2,4,9,13,125,333,458,169,112,281,16,60,76
,Azuay,Nab�n,Total Nab�n,"12,020",534,557,"1,091",48,113,161,77,122,199,189,551,740,"2,252","2,394","4,646","2,259","2,924","5,183"
,Azuay,Nab�n,De 12-14,831,,,0,,,0,,,0,,,0,,,0,415,416,831
,Azuay,Nab�n,De 15-19,"1,633",17,60,77,,,0,,,0,,1,1,1,5,6,771,778,"1,549"
,Azuay,Nab�n,De 20-24,"1,251",97,101,198,,6,6,,,0,,,0,38,61,99,478,470,948
,Azuay,Nab�n,De 25-29,875,93,101,194,1,10,11,3,10,13,,2,2,93,124,217,185,253,438
,Azuay,Nab�n,De 30-34,779,86,88,174,6,15,21,5,13,18,1,5,6,102,175,277,103,180,283
,Azuay,Nab�n,De 35-39,768,61,72,133,2,10,12,11,18,29,1,11,12,179,191,370,57,155,212
,Azuay,Nab�n,De 40-44,733,55,48,103,3,19,22,8,13,21,3,9,12,192,214,406,43,126,169
,Azuay,Nab�n,De 45-49,684,39,32,71,8,10,18,6,11,17,3,10,13,181,240,421,39,105,144
,Azuay,Nab�n,De 50-54,746,30,17,47,5,7,12,11,14,25,2,23,25,233,273,506,43,88,131
,Azuay,Nab�n,De 55-59,683,16,16,32,4,10,14,7,7,14,8,30,38,231,246,477,33,75,108
,Azuay,Nab�n,De 60-64,657,10,11,21,5,8,13,7,15,22,15,44,59,220,230,450,25,67,92
,Azuay,Nab�n,De 65-69,643,15,5,20,5,7,12,9,7,16,16,68,84,208,231,439,21,51,72
,Azuay,Nab�n,De 70-74,578,4,3,7,4,5,9,3,8,11,27,82,109,199,170,369,16,57,73
,Azuay,Nab�n,De 75-79,442,9,2,11,4,2,6,4,4,8,32,76,108,157,115,272,7,30,37
,Azuay,Nab�n,De 80-84,369,1,,1,1,4,5,1,1,2,33,85,118,120,78,198,11,34,45
,Azuay,Nab�n,85 o m�s,348,1,1,2,,,0,2,1,3,48,105,153,98,41,139,12,39,51
,Azuay,Paute,Total Paute,"21,650","1,127","1,197","2,324",151,330,481,279,602,881,260,"1,049","1,309","3,547","3,894","7,441","4,236","4,978","9,214"
,Azuay,Paute,De 12-14,"1,563",,1,1,,,0,,,0,,,0,,,0,786,776,"1,562"
,Azuay,Paute,De 15-19,"2,538",30,84,114,,4,4,,,0,,,0,1,8,9,"1,231","1,180","2,411"
,Azuay,Paute,De 20-24,"2,347",169,221,390,10,21,31,2,1,3,,,0,30,93,123,904,896,"1,800"
,Azuay,Paute,De 25-29,"1,994",221,259,480,12,26,38,3,21,24,,2,2,138,237,375,514,561,"1,075"
,Azuay,Paute,De 30-34,"1,804",210,200,410,15,47,62,15,54,69,2,9,11,286,385,671,277,304,581
,Azuay,Paute,De 35-39,"1,766",152,152,304,14,43,57,33,97,130,,19,19,375,441,816,160,280,440
,Azuay,Paute,De 40-44,"1,631",116,95,211,23,40,63,38,93,131,3,34,37,389,465,854,104,231,335
,Azuay,Paute,De 45-49,"1,325",63,79,142,19,30,49,41,66,107,5,41,46,343,403,746,72,163,235
,Azuay,Paute,De 50-54,"1,238",45,41,86,16,26,42,38,83,121,12,60,72,376,358,734,46,137,183
,Azuay,Paute,De 55-59,"1,080",50,23,73,6,20,26,29,64,93,12,57,69,319,351,670,45,104,149
,Azuay,Paute,De 60-64,"1,010",31,19,50,6,28,34,29,59,88,22,115,137,262,317,579,33,89,122
,Azuay,Paute,De 65-69,829,15,13,28,8,20,28,21,22,43,15,96,111,280,246,526,20,73,93
,Azuay,Paute,De 70-74,750,12,3,15,12,10,22,12,17,29,29,102,131,258,220,478,16,59,75
,Azuay,Paute,De 75-79,661,8,3,11,8,8,16,8,8,16,47,127,174,198,188,386,15,43,58
,Azuay,Paute,De 80-84,548,3,2,5,1,4,5,7,8,15,46,150,196,174,110,284,6,37,43
,Azuay,Paute,85 o m�s,566,2,2,4,1,3,4,3,9,12,67,237,304,118,72,190,7,45,52
,Azuay,Pucar�,Total Pucar�,"7,671",638,654,"1,292",43,100,143,54,83,137,92,299,391,"1,081","1,120","2,201","1,663","1,844","3,507"
,Azuay,Pucar�,De 12-14,653,,5,5,,,0,,,0,,,0,,,0,326,322,648
,Azuay,Pucar�,De 15-19,"1,056",10,60,70,,4,4,,,0,,,0,1,3,4,503,475,978
,Azuay,Pucar�,De 20-24,763,77,108,185,,5,5,,,0,,,0,5,11,16,272,285,557
,Azuay,Pucar�,De 25-29,647,115,116,231,1,16,17,,2,2,,,0,19,37,56,149,192,341
,Azuay,Pucar�,De 30-34,588,91,96,187,4,16,20,2,9,11,,,0,43,83,126,96,148,244
,Azuay,Pucar�,De 35-39,460,78,65,143,2,4,6,4,11,15,,3,3,57,70,127,61,105,166
,Azuay,Pucar�,De 40-44,512,71,67,138,10,11,21,4,13,17,,3,3,88,121,209,55,69,124
,Azuay,Pucar�,De 45-49,483,61,47,108,1,12,13,5,17,22,,9,9,111,118,229,44,58,102
,Azuay,Pucar�,De 50-54,450,48,32,80,8,8,16,10,9,19,4,12,16,101,134,235,39,45,84
,Azuay,Pucar�,De 55-59,431,32,22,54,2,9,11,6,3,9,4,13,17,141,145,286,21,33,54
,Azuay,Pucar�,De 60-64,376,19,10,29,1,8,9,5,7,12,5,33,38,129,112,241,22,25,47
,Azuay,Pucar�,De 65-69,378,17,13,30,7,5,12,6,2,8,12,35,47,134,98,232,21,28,49
,Azuay,Pucar�,De 70-74,286,5,5,10,2,2,4,4,8,12,10,44,54,90,79,169,22,15,37
,Azuay,Pucar�,De 75-79,228,9,5,14,1,,1,2,2,4,16,34,50,66,63,129,17,13,30
,Azuay,Pucar�,De 80-84,187,2,2,4,2,,2,5,,5,13,44,57,61,34,95,10,14,24
,Azuay,Pucar�,85 o m�s,173,3,1,4,2,,2,1,,1,28,69,97,35,12,47,5,17,22
,Azuay,San Fernando,Total San Fernando,"3,053",117,124,241,20,24,44,33,95,128,51,179,230,550,603,"1,153",523,734,"1,257"
,Azuay,San Fernando,De 12-14,184,,,0,,,0,,,0,,,0,,,0,90,94,184
,Azuay,San Fernando,De 15-19,313,,6,6,,1,1,,,0,,,0,,1,1,145,160,305
,Azuay,San Fernando,De 20-24,261,16,24,40,,,0,,,0,,,0,3,9,12,100,109,209
,Azuay,San Fernando,De 25-29,250,26,28,54,1,1,2,,1,1,,,0,14,26,40,68,85,153
,Azuay,San Fernando,De 30-34,277,25,23,48,2,3,5,3,7,10,,1,1,35,57,92,45,76,121
,Azuay,San Fernando,De 35-39,229,11,11,22,1,,1,2,14,16,,3,3,57,65,122,22,43,65
,Azuay,San Fernando,De 40-44,212,9,14,23,5,1,6,2,5,7,,,0,66,65,131,12,33,45
,Azuay,San Fernando,De 45-49,153,9,11,20,1,4,5,5,14,19,,1,1,33,46,79,7,22,29
,Azuay,San Fernando,De 50-54,199,7,3,10,1,3,4,3,19,22,2,5,7,47,66,113,11,32,43
,Azuay,San Fernando,De 55-59,180,6,2,8,3,3,6,8,17,25,,9,9,49,57,106,5,21,26
,Azuay,San Fernando,De 60-64,161,,,0,1,2,3,2,5,7,5,17,22,56,48,104,6,19,25
,Azuay,San Fernando,De 65-69,143,6,1,7,1,,1,4,5,9,6,18,24,44,44,88,4,10,14
,Azuay,San Fernando,De 70-74,139,1,1,2,2,5,7,2,5,7,5,18,23,43,45,88,5,7,12
,Azuay,San Fernando,De 75-79,128,1,,1,2,,2,1,,1,9,28,37,41,33,74,2,11,13
,Azuay,San Fernando,De 80-84,111,,,0,,,0,1,2,3,9,31,40,32,30,62,1,5,6
,Azuay,San Fernando,85 o m�s,113,,,0,,1,1,,1,1,15,48,63,30,11,41,,7,7
,Azuay,Santa Isabel,Total Santa Isabel,"16,586","1,285","1,320","2,605",144,298,442,234,400,634,205,622,827,"2,404","2,561","4,965","3,487","3,626","7,113"
,Azuay,Santa Isabel,De 12-14,"1,238",3,3,6,,1,1,,,0,,,0,,,0,661,570,"1,231"
,Azuay,Santa Isabel,De 15-19,"2,011",40,98,138,,7,7,,1,1,,,0,,3,3,996,866,"1,862"
,Azuay,Santa Isabel,De 20-24,"1,736",153,236,389,,12,12,1,1,2,,3,3,15,26,41,642,647,"1,289"
,Azuay,Santa Isabel,De 25-29,"1,386",212,240,452,6,28,34,2,8,10,1,2,3,49,97,146,354,387,741
,Azuay,Santa Isabel,De 30-34,"1,305",238,224,462,14,38,52,6,28,34,,5,5,104,181,285,217,250,467
,Azuay,Santa Isabel,De 35-39,"1,332",198,187,385,15,40,55,14,32,46,,7,7,205,259,464,164,211,375
,Azuay,Santa Isabel,De 40-44,"1,145",139,133,272,13,28,41,26,61,87,3,10,13,209,252,461,103,168,271
,Azuay,Santa Isabel,De 45-49,"1,065",104,84,188,18,36,54,21,57,78,6,18,24,233,289,522,85,114,199
,Azuay,Santa Isabel,De 50-54,"1,005",75,39,114,17,28,45,25,59,84,2,34,36,266,278,544,76,106,182
,Azuay,Santa Isabel,De 55-59,915,45,34,79,14,26,40,40,55,95,6,36,42,243,287,530,49,80,129
,Azuay,Santa Isabel,De 60-64,831,26,17,43,15,23,38,32,36,68,18,49,67,252,252,504,39,72,111
,Azuay,Santa Isabel,De 65-69,712,23,11,34,5,10,15,27,26,53,16,68,84,241,221,462,19,45,64
,Azuay,Santa Isabel,De 70-74,649,15,7,22,6,9,15,23,21,44,25,79,104,216,170,386,38,40,78
,Azuay,Santa Isabel,De 75-79,516,7,4,11,11,9,20,11,8,19,25,95,120,172,123,295,21,30,51
,Azuay,Santa Isabel,De 80-84,375,5,,5,3,2,5,5,6,11,40,87,127,110,81,191,15,21,36
,Azuay,Santa Isabel,85 o m�s,365,2,3,5,7,1,8,1,1,2,63,129,192,89,42,131,8,19,27
,Azuay,S�gsig,Total S�gsig,"19,585","1,013","1,179","2,192",140,438,578,168,542,710,296,"1,113","1,409","3,056","3,520","6,576","3,543","4,577","8,120"
,Azuay,S�gsig,De 12-14,"1,531",1,7,8,,,0,,,0,,,0,,,0,782,741,"1,523"
,Azuay,S�gsig,De 15-19,"2,519",43,117,160,,5,5,,,0,,,0,3,5,8,"1,152","1,194","2,346"
,Azuay,S�gsig,De 20-24,"1,956",170,246,416,4,26,30,1,2,3,,,0,28,65,93,656,758,"1,414"
,Azuay,S�gsig,De 25-29,"1,676",215,271,486,4,49,53,,13,13,,2,2,95,183,278,380,464,844
,Azuay,S�gsig,De 30-34,"1,436",165,173,338,12,55,67,8,31,39,,4,4,200,303,503,184,301,485
,Azuay,S�gsig,De 35-39,"1,315",121,115,236,12,50,62,15,46,61,2,13,15,243,331,574,113,254,367
,Azuay,S�gsig,De 40-44,"1,280",86,89,175,11,38,49,9,79,88,,20,20,309,386,695,59,194,253
,Azuay,S�gsig,De 45-49,"1,265",61,52,113,21,43,64,19,81,100,5,29,34,330,427,757,58,139,197
,Azuay,S�gsig,De 50-54,"1,241",46,45,91,19,57,76,28,84,112,8,58,66,351,384,735,41,120,161
,Azuay,S�gsig,De 55-59,"1,021",26,19,45,8,32,40,31,67,98,7,65,72,292,336,628,35,103,138
,Azuay,S�gsig,De 60-64,"1,043",25,17,42,12,33,45,18,41,59,16,107,123,314,342,656,30,88,118
,Azuay,S�gsig,De 65-69,837,23,11,34,5,19,24,14,38,52,26,124,150,244,267,511,17,49,66
,Azuay,S�gsig,De 70-74,781,10,7,17,13,14,27,9,31,40,40,156,196,245,202,447,9,45,54
,Azuay,S�gsig,De 75-79,681,11,4,15,8,14,22,9,16,25,52,152,204,189,155,344,16,55,71
,Azuay,S�gsig,De 80-84,492,8,3,11,5,2,7,5,7,12,54,155,209,123,84,207,8,38,46
,Azuay,S�gsig,85 o m�s,511,2,3,5,6,1,7,2,6,8,86,228,314,90,50,140,3,34,37
,Azuay,O�a,Total O�a,"2,792",121,123,244,6,12,18,37,39,76,51,105,156,400,413,813,647,838,"1,485"
,Azuay,O�a,De 12-14,203,,,0,,,0,,,0,,,0,,,0,104,99,203
,Azuay,O�a,De 15-19,318,1,9,10,,,0,,,0,,,0,,,0,169,139,308
,Azuay,O�a,De 20-24,286,12,23,35,,,0,,,0,,,0,1,6,7,119,125,244
,Azuay,O�a,De 25-29,235,23,29,52,,1,1,,1,1,,,0,11,22,33,73,75,148
,Azuay,O�a,De 30-34,221,28,21,49,,1,1,,2,2,1,,1,20,38,58,48,62,110
,Azuay,O�a,De 35-39,196,21,16,37,,2,2,4,4,8,1,,1,42,39,81,25,42,67
,Azuay,O�a,De 40-44,164,10,8,18,1,2,3,3,4,7,,4,4,35,46,81,26,25,51
,Azuay,O�a,De 45-49,179,7,11,18,,1,1,10,8,18,,6,6,44,41,85,18,33,51
,Azuay,O�a,De 50-54,167,7,2,9,1,1,2,5,7,12,,3,3,48,45,93,16,32,48
,Azuay,O�a,De 55-59,139,3,2,5,,2,2,6,4,10,1,3,4,41,39,80,10,28,38
,Azuay,O�a,De 60-64,170,3,2,5,3,1,4,3,3,6,5,2,7,51,43,94,15,39,54
,Azuay,O�a,De 65-69,149,2,,2,1,1,2,2,2,4,2,18,20,38,33,71,6,44,50
,Azuay,O�a,De 70-74,114,1,,1,,,0,2,1,3,8,9,17,22,29,51,8,34,42
,Azuay,O�a,De 75-79,92,1,,1,,,0,1,3,4,6,20,26,20,18,38,6,17,23
,Azuay,O�a,De 80-84,76,2,,2,,,0,1,,1,15,16,31,15,7,22,2,18,20
,Azuay,O�a,85 o m�s,83,,,0,,,0,,,0,12,24,36,12,7,19,2,26,28
,Azuay,Chordeleg,Total Chordeleg,"9,618",481,547,"1,028",83,271,354,101,262,363,121,448,569,"1,684","1,944","3,628","1,766","1,910","3,676"
,Azuay,Chordeleg,De 12-14,745,1,,1,1,,1,,,0,,1,1,,,0,385,357,742
,Azuay,Chordeleg,De 15-19,"1,068",17,54,71,,3,3,,,0,,,0,4,1,5,513,476,989
,Azuay,Chordeleg,De 20-24,963,80,141,221,2,15,17,,2,2,,,0,14,35,49,331,343,674
,Azuay,Chordeleg,De 25-29,932,112,117,229,8,23,31,7,23,30,,,0,76,151,227,216,199,415
,Azuay,Chordeleg,De 30-34,858,80,72,152,9,45,54,9,20,29,,,0,164,237,401,100,122,222
,Azuay,Chordeleg,De 35-39,779,51,49,100,6,30,36,10,33,43,1,1,2,179,254,433,68,97,165
,Azuay,Chordeleg,De 40-44,659,38,52,90,11,26,37,12,35,47,,5,5,176,190,366,38,76,114
,Azuay,Chordeleg,De 45-49,582,29,25,54,9,23,32,15,36,51,2,12,14,180,171,351,31,49,80
,Azuay,Chordeleg,De 50-54,578,26,21,47,4,26,30,10,22,32,1,27,28,154,215,369,21,51,72
